from,to,relation,weight
dfl,vrg,3,3
dfl,vfp,3,3
dfl,dag,4,2
dfl,dmo,4,2
dfl,vsd,3,3
dfl,vst,3,3
kcl,vbb,4,2
kcl,vfp,4,2
kcl,vst,4,2
fpl,cvo,2,2
fpl,vbb,3,3
fpl,mbb,4,2
fpl,mbe,4,2
fpl,sho,4,2
fpl,jak,4,2
fpl,vrg,3,3
fpl,vfp,3,3
fpl,dag,4,2
fpl,dmo,4,2
fpl,vst,3,3
